Order Date,City,Category,Sales
2014-01-03,Houston,Office Supplies,16.448
2014-01-04,Naperville,Office Supplies,288.06
2014-01-05,Philadelphia,Office Supplies,19.536
2014-01-06,Athens,Office Supplies,12.78
2014-01-06,Henderson,Furniture,2573.82
2014-01-06,Henderson,Office Supplies,653.12
2014-01-06,Henderson,Technology,1147.94
2014-01-06,Los Angeles,Office Supplies,19.44
2014-01-07,Huntsville,Furniture,76.728
2014-01-07,Huntsville,Office Supplies,10.43
2014-01-09,Laredo,Office Supplies,9.344
2014-01-09,Laredo,Technology,31.2
2014-01-10,Springfield,Furniture,51.94
2014-01-10,Springfield,Office Supplies,2.89
2014-01-11,Dover,Furniture,9.94
2014-01-13,Bossier City,Office Supplies,640.52
2014-01-13,Bossier City,Technology,646.74
2014-01-13,Mount Pleasant,Furniture,545.94
2014-01-13,Newark,Office Supplies,40.846000000000004
2014-01-13,San Francisco,Furniture,333.999
2014-01-13,San Francisco,Office Supplies,1345.75
2014-01-14,Philadelphia,Furniture,61.96
2014-01-15,Roswell,Technology,149.95
2014-01-16,Philadelphia,Furniture,127.104
2014-01-16,Philadelphia,Office Supplies,48.66
2014-01-16,Philadelphia,Technology,124.2
2014-01-18,Springfield,Office Supplies,64.864
2014-01-19,Scottsdale,Furniture,181.47
2014-01-19,Scottsdale,Office Supplies,197.124
2014-01-20,Jonesboro,Furniture,1106.54
2014-01-20,Jonesboro,Office Supplies,52.93
2014-01-20,Jonesboro,Technology,699.93
2014-01-20,Los Angeles,Furniture,19.3
2014-01-20,Los Angeles,Office Supplies,19.36
2014-01-20,Smyrna,Office Supplies,67.194
2014-01-20,Westland,Furniture,287.67
2014-01-20,Westland,Office Supplies,420.946
2014-01-21,Miami,Furniture,25.248
2014-01-23,Lafayette,Office Supplies,5.94
2014-01-23,Las Vegas,Office Supplies,40.08
2014-01-26,Alexandria,Furniture,75.24
2014-01-26,Alexandria,Office Supplies,526.04
2014-01-26,Alexandria,Technology,343.33
2014-01-26,Rapid City,Furniture,141.96
2014-01-26,Rapid City,Office Supplies,10.68
2014-01-27,San Diego,Furniture,333.0
2014-01-27,San Diego,Office Supplies,93.66999999999999
2014-01-28,New York City,Office Supplies,3.928
2014-01-30,Detroit,Office Supplies,240.5
2014-01-31,Mission Viejo,Furniture,290.666
2014-02-01,Green Bay,Technology,468.9
2014-02-02,Saint Petersburg,Office Supplies,18.336
