Order Date,Sub-Category,Sales
2014-01-03,Paper,16.448
2014-01-04,Binders,3.54
2014-01-04,Labels,11.784
2014-01-04,Storage,272.736
2014-01-05,Art,19.536
2014-01-06,Art,18.259999999999998
2014-01-06,Binders,609.98
2014-01-06,Chairs,2573.82
2014-01-06,Fasteners,31.12
2014-01-06,Paper,25.98
2014-01-06,Phones,1147.94
2014-01-07,Binders,10.43
2014-01-07,Furnishings,76.728
2014-01-09,Accessories,31.2
2014-01-09,Art,9.344
2014-01-10,Furnishings,51.94
2014-01-10,Labels,2.89
2014-01-11,Furnishings,9.94
2014-01-13,Accessories,646.74
2014-01-13,Art,19.9
2014-01-13,Binders,9.078
2014-01-13,Bookcases,333.999
2014-01-13,Chairs,545.94
2014-01-13,Envelopes,62.3
2014-01-13,Paper,37.408
2014-01-13,Storage,1898.4299999999998
2014-01-14,Bookcases,61.96
2014-01-15,Accessories,149.95
2014-01-16,Binders,18.588
2014-01-16,Furnishings,127.104
2014-01-16,Labels,30.072
2014-01-16,Phones,124.2
2014-01-18,Appliances,64.864
2014-01-19,Binders,32.34
2014-01-19,Bookcases,181.47
2014-01-19,Envelopes,108.72
2014-01-19,Paper,56.064
2014-01-20,Appliances,247.716
2014-01-20,Art,73.51
2014-01-20,Binders,115.944
2014-01-20,Chairs,1067.94
2014-01-20,Envelopes,23.34
2014-01-20,Furnishings,345.57
2014-01-20,Paper,19.36
2014-01-20,Phones,699.93
2014-01-20,Storage,80.56
2014-01-21,Furnishings,25.248
2014-01-23,Fasteners,5.94
2014-01-23,Paper,40.08
2014-01-26,Binders,10.68
2014-01-26,Bookcases,141.96
2014-01-26,Furnishings,75.24
2014-01-26,Paper,36.120000000000005
2014-01-26,Phones,343.33
2014-01-26,Storage,489.92
2014-01-27,Art,36.44
2014-01-27,Storage,57.23
2014-01-27,Tables,333.0
2014-01-28,Binders,3.928
2014-01-30,Paper,10.56
2014-01-30,Storage,229.94
2014-01-31,Bookcases,290.666
2014-02-01,Accessories,468.9
2014-02-02,Binders,18.336
2014-02-02,Fasteners,12.35
2014-02-02,Phones,180.96
2014-02-03,Binders,97.11200000000001
2014-02-04,Binders,100.144
2014-02-04,Paper,34.24
2014-02-06,Binders,8.952
2014-02-06,Labels,15.0
2014-02-06,Phones,306.56
2014-02-07,Accessories,115.36
2014-02-07,Storage,64.96
2014-02-08,Furnishings,14.56
2014-02-11,Accessories,234.45
2014-02-11,Binders,79.0
2014-02-11,Chairs,60.89
2014-02-11,Furnishings,332.94
2014-02-11,Labels,14.94
2014-02-11,Storage,64.96
2014-02-11,Tables,1256.22
2014-02-12,Chairs,129.568
2014-02-14,Accessories,239.97
2014-02-14,Appliances,81.96
2014-02-14,Paper,16.176
2014-02-14,Supplies,238.62
2014-02-15,Binders,21.36
2014-02-16,Appliances,7.96
2014-02-16,Binders,1.08
2014-02-17,Art,54.208
2014-02-18,Furnishings,25.16
2014-02-18,Storage,12.624
2014-02-20,Accessories,62.31
2014-02-20,Furnishings,20.32
2014-02-20,Paper,12.96
2014-02-21,Binders,8.85
2014-02-22,Paper,19.44
2014-02-23,Binders,4.428
2014-02-23,Labels,6.936
2014-02-24,Paper,55.672
2014-02-27,Art,19.456
2014-03-01,Chairs,1453.934
